,City,Region,State,IndexMA,IndexTA,IndexMF,IndexTF,IndexML,IndexTL,MFunding,MJobs,MPatents,MExits,TFunding,TJobs,TPatents,TExits,All_E,Female_E,LGBT_E,GDP_Per_Cap,Pop,Location
66,Kansas City,Plains,MO,81,78,37,52,5,3,10.0,36.92,0.66,6.5,4.0,16.0,293.0,570.0,447.0,52.0,0.0,60000.0,2.5,"Kansas City, MO"
67,Des Moines,Plains,IA,90,83,47,51,5,3,16.0,53.69,0.45,8.1,1.8,6.2,57.0,77.0,127.0,14.0,0.0,76000.0,0.82,"Des Moines, IA"
68,Cedar Rapids,Plains,IA,86,84,88,73,5,3,5.0,54.23,1.74,3.8,0.39,4.0,146.0,0.0,84.0,9.0,0.0,67000.0,0.45,"Cedar Rapids, IA"
69,Omaha,Plains,NE,71,55,64,45,5,3,4.8,40.59,0.19,12.0,0.66,6.2,30.0,330.0,164.0,14.0,0.0,67000.0,0.98,"Omaha, NE"
70,Lincoln,Plains,NE,32,36,49,74,5,4,5.1,21.24,0.09,3.6,0.4,1.7,8.0,0.0,88.0,13.0,0.0,58000.0,0.36,"Lincoln, NE"
71,Tulsa,Southwest,OK,41,41,23,27,5,4,2.4,22.91,0.19,8.2,0.18,1.9,18.0,370.0,97.0,7.0,0.0,58000.0,1.2,"Tulsa, OK"
72,Olkahoma City,Southwest,OK,80,78,9,34,5,3,5.8,60.03,0.4,8.3,0.92,11.0,84.0,1200.0,209.0,24.0,0.0,58000.0,1.5,"Olkahoma City, OK"
73,San Antonio,Southwest,TX,89,86,93,75,5,3,9.3,68.99,0.7,6.5,2.4,20.0,212.0,470.0,302.0,32.0,0.0,53000.0,2.6,"San Antonio, TX"
74,Houston,Southwest,TX,94,90,89,70,5,3,14.0,67.52,0.91,6.5,12.0,64.0,906.0,1100.0,1000.0,101.0,0.0,68000.0,7.2,"Houston, TX"
75,Dallas,Southwest,TX,95,92,82,66,54,9,11.0,56.58,0.79,11.0,16.0,90.0,1300.0,9400.0,1700.0,171.0,3.0,67000.0,8.0,"Dallas, TX"
76,Austin,Southwest,TX,88,85,55,56,87,74,10.0,43.21,0.77,7.6,31.0,140.0,2600.0,9900.0,3400.0,369.0,17.0,68000.0,2.2,"Austin, TX"
77,Albuquerque,Southwest,NM,71,70,94,66,86,89,5.4,12.18,2.06,5.9,1.0,2.2,400.0,200.0,195.0,17.0,1.0,47000.0,1.2,"Albuquerque, NM"
78,Phoenix,Southwest,AZ,96,93,55,54,5,3,14.0,68.56,0.92,9.5,12.0,67.0,921.0,2.5,1000.0,106.0,0.0,53000.0,5.0,"Phoenix, AZ"
79,Tucson,Southwest,AZ,53,52,36,65,6,4,5.2,9.97,0.79,5.6,0.79,1.5,124.0,5.2,161.0,23.0,0.0,43000.0,1.1,"Tucson, AZ"
80,Fort Collins,Southwest,CO,93,87,9,30,5,3,14.0,125.22,0.83,6.0,1.1,12.0,88.0,0.0,106.0,11.0,0.0,54000.0,0.35,"Fort Collins, CO"
81,Colorado Springs,Rocky Mountain,CO,61,63,54,40,5,3,7.4,32.6,0.59,2.6,0.56,2.2,48.0,0.0,82.0,6.0,0.0,51000.0,0.74,"Colorado Springs, CO"
82,Denver,Rocky Mountain,CO,90,88,48,58,54,16,11.0,87.53,0.59,7.7,32.0,270.0,1900.0,7200.0,3300.0,388.0,8.0,73000.0,3.6,"Denver, CO"
83,Salt Lake City,Rocky Mountain,UT,92,89,49,38,5,3,14.0,46.28,0.83,7.3,21.0,73.0,1400.0,3600.0,1700.0,118.0,0.0,59000.0,2.6,"Salt Lake City, UT"
84,Missoula,Rocky Mountain,MT,56,39,62,74,13,99,5.5,23.38,0.17,9.8,0.23,1.2,9.0,0.0,54.0,8.0,1.0,48000.0,0.12,"Missoula, MT"
85,Boise City,Rocky Mountain,ID,88,84,91,62,5,3,6.4,40.97,0.96,11.0,0.85,5.5,145.0,810.0,153.0,14.0,0.0,47000.0,0.81,"Boise City, ID"
86,Spokane,Far West,WA,73,73,81,91,5,4,4.1,14.89,1.26,7.8,0.44,1.8,151.0,400.0,120.0,21.0,0.0,46000.0,0.73,"Spokane, WA"
87,Seattle,Far West,WA,93,92,79,72,85,15,12.0,56.4,0.88,7.1,48.0,240.0,3800.0,11000.0,4400.0,499.0,8.0,92000.0,4.9,"Seattle, WA"
88,Portland,Far West,OR,66,68,39,61,13,5,6.4,32.53,0.64,5.2,8.1,42.0,859.0,1800.0,1400.0,177.0,4.0,61000.0,3.2,"Portland, OR"
89,Bend,Far West,OR,47,52,32,83,5,4,6.3,18.97,0.26,6.1,0.58,1.9,26.0,320.0,104.0,21.0,0.0,49000.0,0.22,"Bend, OR"
90,Reno,Far West,NV,42,40,28,45,21,32,3.8,10.4,0.6,5.5,0.51,1.6,94.0,68.0,167.0,19.0,1.0,61000.0,0.63,"Reno, NV"
91,Las Vegas,Far West,NV,83,74,72,71,5,3,6.6,117.93,0.32,9.7,2.7,52.0,151.0,1100.0,482.0,61.0,0.0,55000.0,2.5,"Las Vegas, NV"
92,San Diego,Far West,CA,98,97,79,64,51,14,15.0,49.85,1.74,14.0,46.0,160.0,5700.0,34000.0,3300.0,344.0,8.0,73000.0,3.3,"San Diego, CA"
93,Los Angeles,Far West,CA,90,89,63,75,52,66,13.0,60.45,0.6,5.4,120.0,600.0,6200.0,23000.0,11000.0,1500.0,63.0,69000.0,19.0,"Los Angeles, CA"
94,Santa Maria,Far West,CA,98,97,32,50,5,3,15.0,88.05,3.33,10.0,5.1,31.0,1200.0,2700.0,372.0,45.0,0.0,68000.0,0.45,"Santa Maria, CA"
95,San Luis Obispo,Far West,CA,66,51,31,70,10,23,6.1,33.75,0.32,8.4,0.47,3.2,30.0,0.0,101.0,17.0,1.0,65000.0,0.28,"San Luis Obispo, CA"
96,San Francisco,Far West,CA,96,95,79,74,100,100,19.0,72.8,1.18,7.1,690.0,2800.0,47000.0,130000.0,40000.0,4400.0,234.0,110000.0,8.8,"San Francisco, CA"
97,Sacramento,Far West,CA,84,78,95,92,5,3,14.0,27.1,0.69,7.0,5.2,11.0,287.0,520.0,420.0,60.0,1.0,61000.0,2.6,"Sacramento, CA"
98,Honolulu,Far West,HI,48,57,17,51,6,5,6.4,11.54,0.84,1.9,0.71,1.2,99.0,11.0,119.0,17.0,1.0,71000.0,0.98,"Honolulu, HI"
