FIPS MSA/CMSA,Area Name,Est. Population,Pop. Est. Base,Change,Perc. Change
8560,"Tulsa, OK MSA...............................................","786,117","708,954","77,163",10.9
8600,"Tuscaloosa, AL MSA..........................................","161,435","150,500","10,935",7.3
8640,"Tyler, TX MSA...............................................","169,693","151,309","18,384",12.1
8680,"Utica-Rome, NY MSA..........................................","293,068","316,645","-23,577",-7.4
8750,"Victoria, TX MSA............................................","82,087","74,361","7,726",10.4
8780,"Visalia-Tulare-Porterville, CA MSA..........................","358,470","311,932","46,538",14.9
8800,"Waco, TX MSA................................................","204,244","189,123","15,121",8
8872,"Washington-Baltimore, DC-MD-VA-WV CMSA......................","7,359,044","6,726,395","632,649",9.4
8920,"Waterloo-Cedar Falls, IA MSA................................","119,959","123,798","-3,839",-3.1
8940,"Wausau, WI MSA..............................................","123,584","115,400","8,184",7.1
8960,"West Palm Beach-Boca Raton, FL MSA..........................","1,049,420","863,503","185,917",21.5
9000,"Wheeling, WV-OH MSA.........................................","153,946","159,301","-5,355",-3.4
9040,"Wichita, KS MSA.............................................","548,714","485,270","63,444",13.1
9080,"Wichita Falls, TX MSA.......................................","136,493","130,351","6,142",4.7
9140,"Williamsport, PA MSA........................................","116,709","118,710","-2,001",-1.7
9200,"Wilmington, NC MSA..........................................","222,109","171,269","50,840",29.7
9260,"Yakima, WA MSA..............................................","220,785","188,823","31,962",16.9
9280,"York, PA MSA................................................","376,586","339,574","37,012",10.9
9320,"Youngstown-Warren, OH MSA...................................","589,236","600,877","-11,641",-1.9
9340,"Yuba City, CA MSA...........................................","138,030","122,643","15,387",12.5
9360,"Yuma, AZ MSA................................................","135,614","106,895","28,719",26.9
